textReference,character,esp,en
100100001,Nero,"¿Oyes ese goteo, Alastor? Es el reloj desangrándose.","You hear that drip, Alastor? It’s the clock bleeding."
100100002,Alastor,"Los relojes no sangran, Nero; nosotros sí.","Clocks don’t bleed, Nero; we do."
100100003,Nero,Hoy no. Las cadenas me mantuvieron honesto.,Not today. Chains kept me honest.
100100004,Alastor,La honestidad se ve fea en un demonio.,Honesty looks ugly on a demon.
100100005,Nero,"También la esperanza, pero guardo una astilla.","So does hope, but I keep a shard."
100100006,Alastor,La esperanza es contrabando aquí.,Hope is contraband here.
100100007,Nero,Entonces regístrame. Sólo encontrarás cicatrices.,Then search me. You’ll find only scars.
100100008,Alastor,Ya las mapeé: constelaciones de crímenes.,I mapped those scars—constellations of crimes.
100100009,Nero,Cartógrafo de pecados. ¿Cómo va el atlas?,Cartographer of sins. How’s the atlas?
100100010,Alastor,Le falta una estrella: el día que nos atraparon.,Missing one star: the day we got caught.
